name,designer,year,loa,lwl,beam,draft,disp,ballast,sa,typekeel,typerig,SA/DISP,DISP/LWL,COMFORT,CAPSIZE RISK,Vm/Vh,L/B,ROLL ACEL.,V  HULL,PERIOD,P/B,,,,,,,,,,,,,,,,,,,,,,,,
B-32,BEILEY,1978,32.0,27.5,10.7,6.5,3800,1650,500,FIN KEEL,SLOOP,32.94,82,8.7,2.65,1.41,2.99,0.67982,7.03,1.1,1.91,,,,,,,,,,,,,,,,,,,,,,,,
BABA 30,PERRY,1983,29.7,24.6,10.3,4.8,12500,,504,FIN,CUTTER,15.02,375,33.1,1.72,1.05,2.88,0.06017,6.65,3.6,6.37,,,,,,,,,,,,,,,,,,,,,,,,
BABA 35,PERRY,1977,34.8,29.6,11.2,5.5,21140,9400,716,,CUTTER,15.04,364,42.0,1.57,1.04,3.11,0.04326,7.29,4.5,7.63,,,,,,,,,,,,,,,,,,,,,,,,
BALBOA 20,HESS,1983,20.0,17.5,7.1,4.0,1700,550,174,SWING KEEL,SLOOP,19.59,142,10.6,2.30,1.22,2.82,0.25917,5.61,1.3,2.77,,,,,,,,,,,,,,,,,,,,,,,,
BALBOA 26,HESS,1975,25.6,20.9,8.0,1.9 / 5,3600,1200,293,,SLOOP,20.01,176,15.6,2.02,1.20,3.20,0.14796,6.13,1.9,3.81,,,,,,,,,,,,,,,,,,,,,,,,
BALTIC 35,JUDEL/VROLIJK,1960,34.1,28.7,11.5,6.1,9877,4145,590,FIN KEEL,SLOOP,20.58,187,19.5,2.07,1.18,2.97,0.17165,7.18,2.3,3.85,,,,,,,,,,,,,,,,,,,,,,,,
BALTIC 38,PETERSON,1972,38.1,31.5,12.3,7.3,14330,6503,733,FIN,SLOOP,19.95,205,23.4,1.96,1.15,3.10,0.13628,7.52,2.7,4.37,,,,,,,,,,,,,,,,,,,,,,,,
BALTIC 40,JUDEL,1987,39.3,32.7,12.8,7.1,14992,6173,789,FIN,SLOOP,20.84,191,22.4,2.01,1.17,3.07,0.15487,7.66,2.6,4.12,,,,,,,,,,,,,,,,,,,,,,,,
BALTIC 43,JUDEL/VROLIJK,1966,43.3,35.8,13.8,8.2,19754,8488,955,FIN KEEL,SLOOP,20.99,192,24.3,1.98,1.16,3.14,0.14716,8.02,2.8,4.28,,,,,,,,,,,,,,,,,,,,,,,,
BALTIC 47,JUDEL,1975,47.7,39.5,14.4,8.7,24692,10141,1227,,SLOOP,23.24,179,26.1,1.91,1.20,3.31,0.12673,8.42,3.1,4.64,,,,,,,,,,,,,,,,,,,,,,,,
BALTIC 50,,1979,50.0,43.6,14.0,9.9,21069,9000,1298,FIN KEEL,FRACTIONAL SLOOP,27.33,113,21.3,1.96,1.27,3.57,0.16120,8.85,2.7,4.09,,,,,,,,,,,,,,,,,,,,,,,,
Baltic 51,,1969,51.0,41.0,15.3,9.0,34400,13900,1227,,,18.64,223,32.0,1.82,1.10,3.33,0.09598,8.58,3.7,5.37,,,,,,,,,,,,,,,,,,,,,,,,
BALTIC 52,S&S,1970,52.5,43.2,15.4,9.1,31967,13228,1310,,SLOOP,20.90,177,28.2,1.88,1.14,3.41,0.12164,8.81,3.3,4.77,,,,,,,,,,,,,,,,,,,,,,,,
BALTIC 58,S&S,1973,58.5,47.6,16.6,10.5,41900,17500,1624,,SLOOP,21.63,173,30.2,1.85,1.15,3.52,0.11210,9.25,3.6,5.01,,,,,,,,,,,,,,,,,,,,,,,,
BALTIC 64,S&S,1961,64.0,51.5,17.3,11.0,56218,24652,2094,FIN KEEL,SLOOP,22.93,184,35.3,1.75,1.16,3.70,0.08660,9.62,4.2,5.73,,,,,,,,,,,,,,,,,,,,,,,,
BALTIC 67,FARR,1984,66.9,59.0,17.8,12.0,40786,15653,2151,,SLOOP,29.17,89,22.2,2.00,1.27,3.76,0.20167,10.29,2.8,3.77,,,,,,,,,,,,,,,,,,,,,,,,
BALTIC 87,,1970,86.9,73.5,20.3,9.2,114641,,3307,"FIN, CB",SLOOP,22.53,129,41.5,1.62,1.13,4.28,0.07106,11.49,5.1,6.42,,,,,,,,,,,,,,,,,,,,,,,,
Baltic Breeze,,1996,49.3,37.5,14.9,7.7,40400,19100,1080,,,14.74,342,41.7,1.68,1.01,3.31,0.06008,8.21,4.6,6.76,,,,,,,,,,,,,,,,,,,,,,,,
BARBICAN 33,UNKNOWN,2000,32.5,26.9,9.0,6.3,13450,5600,546,MONO LONG CB,SLOOP,15.50,308,39.0,1.46,1.06,3.61,0.03311,6.95,4.4,8.32,,,,,,,,,,,,,,,,,,,,,,,,
BAVARIA 31,J&J,1978,31.3,27.3,9.8,5.8,7937,,472,FIN SPADE RUDDER,SLOOP,19.04,174,20.6,1.90,1.16,3.19,0.11623,7.00,2.5,4.53,,,,,,,,,,,,,,,,,,,,,,,,
BAVARIA 32,,1983,33.7,31.0,10.9,5.0,8267,2336,524,"FIN, BULB",SLOOP,20.57,124,16.7,2.09,1.18,3.09,0.21099,7.46,2.0,3.44,,,,,,,,,,,,,,,,,,,,,,,,
BAVARIA 36,J&J DESIGN,1964,37.9,29.2,12.1,6.0,11792,3916,583,FIN,SLOOP,18.07,211,20.7,2.06,1.12,3.13,0.16878,7.24,2.4,3.92,,,,,,,,,,,,,,,,,,,,,,,,
BAVARIA 38 OCEAN,J&J,1984,38.6,32.5,13.2,6.4,16540,6380,722,FIN,SLOOP,17.86,215,24.0,2.00,1.11,2.92,0.14947,7.64,2.7,4.22,,,,,,,,,,,,,,,,,,,,,,,,
