name,designer,year,loa,lwl,beam,draft,disp,ballast,sa,typekeel,typerig,SA/DISP,DISP/LWL,COMFORT,CAPSIZE RISK,Vm/Vh,L/B,ROLL ACEL.,V  HULL,PERIOD,P/B,,,,,,,,,,,,,,,,,,,,,,,,
JONMERI 33 MK II,NYMAN,1995,33.0,26.6,10.9,6.2,13227,4629,521,FIN,FRACTIONAL SLOOP,14.96,314,29.8,1.78,1.05,3.03,0.07750,6.91,3.3,5.67,,,,,,,,,,,,,,,,,,,,,,,,
JONMERI 40,NYMAN,1999,39.7,32.9,12.7,7.1,17710,7700,752,,SLOOP,17.78,222,26.5,1.89,1.10,3.13,0.10783,7.69,3.1,4.94,,,,,,,,,,,,,,,,,,,,,,,,
JONMERI 48,NYMAN,1994,47.8,40.1,14.5,5.9,36400,15700,1121,,SLOOP,16.40,252,37.7,1.69,1.05,3.30,0.06964,8.49,4.2,6.26,,,,,,,,,,,,,,,,,,,,,,,,
JONQUE 10.57M,LE FORESTIER,1981,34.7,27.7,12.7,3.3,14110,5070,549,CB WOOD WEST,JUNK         ,15.10,296,24.8,2.03,1.05,2.73,0.14215,7.05,2.7,4.30,,,,,,,,,,,,,,,,,,,,,,,,
JONQUE 11.94M,LE FORESTIER,1994,39.2,33.3,13.7,3.6,20944,6614,840,WATER BALLAST,JUNK         ,17.76,253,28.3,1.92,1.10,2.86,0.11895,7.73,3.1,4.75,,,,,,,,,,,,,,,,,,,,,,,,
JUNKET,SPENCER,1968,40.0,38.0,15.3,2.9,20000,,640,MOTOR SAILOR,JUNK,13.95,163,21.2,2.18,1.01,2.61,0.22813,8.26,2.4,3.48,,,,,,,,,,,,,,,,,,,,,,,,
K-43,KETTENBURG,1988,43.0,29.0,11.0,6.1,19000,7750,791,,SLOOP,17.84,348,36.3,1.60,1.10,3.91,0.04622,7.22,4.3,7.36,,,,,,,,,,,,,,,,,,,,,,,,
K-50,KETTENBURG,1965,50.8,34.5,13.0,6.9,29000,9000,987,,SLOOP,16.80,315,37.4,1.64,1.07,3.91,0.05518,7.87,4.4,6.92,,,,,,,,,,,,,,,,,,,,,,,,
KANTER 47,EMPACHER,1996,47.2,38.2,14.0,6.5,39800,15900,1045,FIN KEEL,SLOOP,14.40,319,44.8,1.59,1.01,3.37,0.04700,8.28,5.0,7.58,,,,,,,,,,,,,,,,,,,,,,,,
KANTER 51,EMPACHER,1986,51.3,41.6,14.2,7.0,42800,20000,1231,FIN KEEL,SLOOP,16.17,265,43.4,1.57,1.04,3.61,0.04786,8.64,5.0,7.53,,,,,,,,,,,,,,,,,,,,,,,,
KANTER 66,EMPACHER,1983,65.2,53.1,17.0,7.8,85500,32000,1916,FULL KEEL,,15.87,255,53.5,1.49,1.02,3.84,0.04019,9.76,6.1,8.40,,,,,,,,,,,,,,,,,,,,,,,,
KIRIE FEELING 396 DI,VATON,1995,38.5,33.8,12.5,2.9,17680,6680,654,SHOAL CB,SLOOP,15.48,204,26.9,1.86,1.05,3.08,0.10561,7.79,3.1,4.98,,,,,,,,,,,,,,,,,,,,,,,,
KIRIEACUTE FEELING 396 DI,VATON,1966,38.5,33.8,12.5,5.1,15470,5400,654,FIN KEEL,SLOOP,16.92,179,23.5,1.94,1.09,3.08,0.13922,7.79,2.7,4.33,,,,,,,,,,,,,,,,,,,,,,,,
KODIAK,BREWER,1964,26.3,24.2,8.5,1.6,3250,1350,285,CENTERBOARD,,20.84,102,11.7,2.22,1.22,3.09,0.26114,6.59,1.5,2.92,,,,,,,,,,,,,,,,,,,,,,,,
KOLAL 40,MULL,1998,39.5,33.0,13.0,6.4,19842,8532,719,,SLOOP,15.76,246,28.8,1.86,1.06,3.04,0.10433,7.70,3.2,5.04,,,,,,,,,,,,,,,,,,,,,,,,
Kotick,,1970,51.3,48.0,15.0,6.5,26400,9000,1055,,,19.12,107,22.6,1.95,1.12,3.42,0.16351,9.28,2.8,4.10,,,,,,,,,,,,,,,,,,,,,,,,
KYRNOS,BARNETT,1980,55.8,49.3,16.5,9.0,33000,,1440,FIN,SLOOP,22.49,123,23.8,1.99,1.17,3.38,0.17149,9.41,2.9,4.05,,,,,,,,,,,,,,,,,,,,,,,,
LAFITTE 44,PERRY,1995,44.3,35.4,12.7,6.3,28000,11310,927,MONO LONG-FIN,SLOOP,16.15,282,38.5,1.62,1.06,3.49,0.05353,7.97,4.4,7.01,,,,,,,,,,,,,,,,,,,,,,,,
LAGER 45,LADD,1979,45.3,37.8,13.4,8.5,18900,7560,1020,FIN + BULB,SLOOP,23.09,156,23.0,1.95,1.20,3.38,0.14171,8.24,2.8,4.34,,,,,,,,,,,,,,,,,,,,,,,,
LAGER 60,LADD,1963,60.8,50.0,16.5,6.3,50000,22500,1800,KEEL + CB,,21.31,179,34.7,1.73,1.14,3.68,0.08579,9.48,4.1,5.73,,,,,,,,,,,,,,,,,,,,,,,,
LAGER 65,LADD,1961,65.8,55.0,17.2,8.0,57000,24500,1959,FIN + BULB,SLOOP,21.26,153,34.2,1.73,1.13,3.83,0.09024,9.94,4.1,5.61,,,,,,,,,,,,,,,,,,,,,,,,
LAGER 76,PAINE,1968,76.0,68.1,19.8,8.6,107609,35000,2584,FIN + BULB,SLOOP,18.37,152,44.3,1.61,1.06,3.84,0.06389,11.06,5.3,6.76,,,,,,,,,,,,,,,,,,,,,,,,
LANDING SCHOOL 26,RUSINEK,1965,26.0,20.0,7.5,4.2,4630,0,302,FULL KEEL,,17.44,258,22.4,1.74,1.14,3.47,0.06594,5.99,2.7,5.59,,,,,,,,,,,,,,,,,,,,,,,,
LEGEND 310,HUNTER,1970,30.8,28.1,11.0,4.2,8501,,454,FIN SPADE RUDDER,SLOOP,17.50,171,18.6,2.08,1.12,2.80,0.17658,7.10,2.2,3.76,,,,,,,,,,,,,,,,,,,,,,,,
LEGEND 40.5,HUNTER DESIGN GROUP,1972,40.2,35.3,13.4,4.0,20000,7000,773,,,16.85,203,26.5,1.91,1.08,3.00,0.12345,7.96,3.0,4.65,,,,,,,,,,,,,,,,,,,,,,,,
LEGEND 43,HUNTER DESIGN ,1977,42.5,33.3,14.0,4.9,23000,7600,845,,SLOOP,16.78,278,29.3,1.90,1.08,3.04,0.10791,7.73,3.3,5.00,,,,,,,,,,,,,,,,,,,,,,,,
LEGEND 430,LUHRS/HUNTER DES.,1963,42.5,38.0,14.0,4.1,23800,7600,838,,,16.27,194,27.8,1.88,1.06,3.04,0.11476,8.26,3.2,4.85,,,,,,,,,,,,,,,,,,,,,,,,
LISA,,1970,72.0,50.0,18.0,4.2,100000,,3000,,,22.39,357,58.2,1.50,1.13,4.00,0.03679,9.48,6.6,8.83,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE HARBOR 38,HOOD,1985,38.0,31.0,11.8,4.5,20600,8400,744,CB,SLOOP,15.90,309,35.9,1.67,1.06,3.22,0.05876,7.46,4.0,6.61,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE HARBOR 42,HOOD,1972,42.8,31.2,12.5,7.0,24000,8500,818,,SLOOP,15.79,353,37.0,1.68,1.05,3.42,0.05753,7.48,4.2,6.74,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE HARBOR 52,HOOD,1971,50.6,41.0,15.2,4.6,45750,18000,1219,CB,SLOOP,15.31,296,43.0,1.64,1.02,3.33,0.05657,8.58,4.8,6.99,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE HARBOR 54,HOOD,1990,53.7,42.2,15.1,5.5,43200,18000,1278,KEEL + CB,,16.68,257,39.4,1.67,1.05,3.56,0.06383,8.70,4.5,6.57,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE HARBOR 60,HOOD,1961,60.4,47.8,16.2,4.0,70500,0,1508,KEEL + CB,,14.20,288,51.8,1.52,0.99,3.73,0.04051,9.26,5.9,8.32,,,,,,,,,,,,,,,,,,,,,,,,
LITTLE HARBOR 68/70,HOOD,1993,67.5,52.2,18.3,6.8,112000,32000,2067,KEEL + CB,,14.30,352,63.5,1.47,0.97,3.69,0.03336,9.68,7.0,9.29,,,,,,,,,,,,,,,,,,,,,,,,
Lolita,,1960,56.0,42.0,14.0,8.0,44000,20000,1210,,,15.60,265,43.8,1.53,1.03,4.00,0.04346,8.68,5.2,7.89,,,,,,,,,,,,,,,,,,,,,,,,
LUAU 350,LUAU BOATS/BERTRAND,1966,35.0,32.5,18.1,2.0,7800,0,675,FIN KEEL,SLOOP,27.55,101,7.7,3.53,1.31,1.93,1.99151,7.64,0.9,1.20,,,,,,,,,,,,,,,,,,,,,,,,
LUNA 50,CARTER,1980,49.9,43.3,14.4,2.6,26500,10600,853,MONO 5-TON CB,SCHOONER,15.42,146,25.9,1.87,1.04,3.47,0.12673,8.82,3.1,4.64,,,,,,,,,,,,,,,,,,,,,,,,
MACGREGOR 26,MACGREGOR,1970,25.0,23.0,7.0,5.8,2300,2300,281,CENTERBOARD,,25.86,84,11.3,2.05,1.32,3.57,0.18992,6.43,1.5,3.22,,,,,,,,,,,,,,,,,,,,,,,,
MACGREGOR 26X,MACGREGOR,1995,25.9,23.0,7.9,5.5,3750,1500,281,WATER BALLAST,SLOOP,18.68,138,15.5,1.97,1.17,3.28,0.14500,6.43,1.9,3.84,,,,,,,,,,,,,,,,,,,,,,,,
MACGREGOR 65,MACGREGOR,1975,65.0,63.0,12.0,8.5,33000,11000,1346,,SLOOP,21.02,59,29.3,1.45,1.15,5.42,0.05720,10.64,4.1,6.72,,,,,,,,,,,,,,,,,,,,,,,,
MAGIC,JOHNSEN,1969,39.5,32.5,12.5,6.0,23400,7800,1005,,SCHOONER,19.73,304,36.2,1.69,1.13,3.16,0.06343,7.64,4.0,6.42,,,,,,,,,,,,,,,,,,,,,,,,
Mahdee,,1976,53.3,45.9,14.9,6.0,58300,0,1604,,,17.15,269,51.3,1.49,1.05,3.57,0.03913,9.08,5.7,8.38,,,,,,,,,,,,,,,,,,,,,,,,
MALO 34,OHLSEN,1960,34.8,27.1,10.6,5.5,11023,5291,474,,SLOOP,15.36,247,25.0,1.84,1.06,3.28,0.09654,6.98,2.9,5.05,,,,,,,,,,,,,,,,,,,,,,,,
MALO 37,OHLSEN,1994,36.9,30.2,11.1,5.5,14300,6600,590,,SLOOP,16.08,232,27.8,1.77,1.07,3.32,0.08450,7.36,3.2,5.45,,,,,,,,,,,,,,,,,,,,,,,,
MALO 38,OHLSEN,1979,38.2,30.2,11.1,5.6,14330,6614,592,,SLOOP,16.11,232,27.5,1.77,1.07,3.44,0.08450,7.36,3.2,5.45,,,,,,,,,,,,,,,,,,,,,,,,
MALO 40,OHLSEN,1992,38.3,31.5,12.0,5.6,17620,7380,730,,SLOOP,17.31,252,29.7,1.78,1.09,3.19,0.08317,7.52,3.4,5.57,,,,,,,,,,,,,,,,,,,,,,,,
MALO 42,OHLSEN,1966,43.1,34.1,13.1,6.2,25132,12125,937,,SLOOP,17.54,283,34.3,1.73,1.09,3.29,0.07094,7.82,3.9,6.11,,,,,,,,,,,,,,,,,,,,,,,,
Manatee,,1976,51.8,45.0,14.8,6.0,43400,16000,1261,,,16.41,213,39.4,1.63,1.05,3.50,0.06225,8.99,4.5,6.64,,,,,,,,,,,,,,,,,,,,,,,,
MARGAREE / BOLERO,ALDEN,1996,54.5,36.5,13.1,5.3 / 11.5,42700,17507,1340,"FULL KEEL, CB",YAWL,17.63,392,51.2,1.45,1.07,4.16,0.02997,8.10,6.0,9.41,,,,,,,,,,,,,,,,,,,,,,,,
MARINER 36,CANNING,2000,36.0,30.1,11.5,5.0,17000,5650,585,FIN KEEL,SLOOP,14.21,278,31.9,1.73,1.03,3.13,0.07007,7.35,3.6,6.02,,,,,,,,,,,,,,,,,,,,,,,,
MARINER POLARIS 36,PERRY,1996,36.0,32.0,11.3,5.5,19000,8200,786,,CUTTER,17.73,259,35.0,1.64,1.10,3.19,0.05830,7.58,3.9,6.58,,,,,,,,,,,,,,,,,,,,,,,,
MARSHALL 22,MARSHALL,1977,22.1,21.3,10.2,24 / 65,5660,850,388,CAT BOAT,GAFF,19.61,261,18.4,2.21,1.18,2.17,0.21307,6.18,1.9,3.38,,,,,,,,,,,,,,,,,,,,,,,,
MARTHA LEWIS,SKIPJACK,1977,49.5,46.1,16.7,3.7/8,40000,10000,2400,CB,GAFF SLOOP,32.97,182,30.9,1.89,1.32,2.96,0.11947,9.10,3.5,4.86,,,,,,,,,,,,,,,,,,,,,,,,
MASON 34,MASON,1982,33.8,25.4,10.9,5.0,14020,4767,602,,CUTTER,16.63,382,32.2,1.75,1.09,3.10,0.06512,6.75,3.6,6.19,,,,,,,,,,,,,,,,,,,,,,,,
MASON 43,MASON,1961,43.9,31.3,12.3,6.3,23960,8400,899,FULL KEEL,CUTTER,17.38,349,37.3,1.65,1.09,3.57,0.05373,7.50,4.3,6.96,,,,,,,,,,,,,,,,,,,,,,,,
MASON 44,MASON,1964,43.9,31.9,12.3,6.0,27400,9400,899,FULL KEEL,CUTTER,15.89,377,42.2,1.58,1.05,3.57,0.04312,7.57,4.8,7.77,,,,,,,,,,,,,,,,,,,,,,,,
Mason 53,,1988,53.5,39.7,14.4,6.7,38600,12700,1223,,,17.21,275,39.0,1.65,1.07,3.72,0.06014,8.44,4.5,6.73,,,,,,,,,,,,,,,,,,,,,,,,
MASON 54,MASON,1992,53.5,40.0,14.0,6.7,43500,13400,1350,FULL KEEL,,17.54,303,45.4,1.54,1.07,3.82,0.04346,8.47,5.2,7.89,,,,,,,,,,,,,,,,,,,,,,,,
MASON 64,MASON,1982,63.6,46.7,16.4,7.0,64400,15000,1786,,SLOOP,17.87,282,46.4,1.58,1.07,3.88,0.04909,9.16,5.4,7.57,,,,,,,,,,,,,,,,,,,,,,,,
MAXI YACHT 800, ,1984,27.0,22.6,9.3,4.5,4480,1653,312,,SLOOP,18.42,173,14.8,2.18,1.16,2.90,0.20772,6.37,1.8,3.35,,,,,,,,,,,,,,,,,,,,,,,,
MELGES 24,PUGH,1972,24.0,22.0,8.2,,1750,,,,SLOOP,0.00,73,7.3,2.63,0.00,2.93,0.55551,6.29,1.0,1.98,,,,,,,,,,,,,,,,,,,,,,,,
MELGES 30,REICHEL/PUGH,1974,30.0,28.5,9.0,7.0,3850,0,750,LIFTING FIN + BU,SLOOP,48.98,74,11.0,2.22,1.62,3.33,0.28488,7.15,1.5,2.84,,,,,,,,,,,,,,,,,,,,,,,,
MENGER CAT 17,MENGER,1960,17.0,16.5,8.0,1.8/4.5,2200,500,250,CAT BOAT,GAFF,23.70,219,12.8,2.38,1.29,2.13,0.27252,5.44,1.4,2.81,,,,,,,,,,,,,,,,,,,,,,,,
MENGER CAT 23,MENGER,1975,22.5,21.3,10.0,2.5 / 5,6500,1500,435,CAT BOAT,GAFF,20.04,300,21.6,2.07,1.18,2.25,0.14136,6.18,2.3,4.13,,,,,,,,,,,,,,,,,,,,,,,,
MENGER CAT19,MENGER,1963,19.0,18.4,8.0,1.9 / 4.5,2900,1000,282,CAT BOAT,GAFF,22.24,208,15.1,2.17,1.25,2.38,0.18483,5.75,1.7,3.41,,,,,,,,,,,,,,,,,,,,,,,,
MERCER 44,TRIPP,1981,44.0,30.0,11.8,4.2,27000,8600,902,KEEL + CB,,16.10,446,45.6,1.52,1.06,3.73,0.03477,7.34,5.2,8.59,,,,,,,,,,,,,,,,,,,,,,,,
MERIT 25,YATES,1988,25.0,20.5,8.0,4.0,2900,1050,276,,SLOOP,21.77,150,12.9,2.17,1.24,3.13,0.20865,6.07,1.6,3.21,,,,,,,,,,,,,,,,,,,,,,,,
"MERIT CUP, WHITBREAD",FARR,1983,85.0,81.0,19.2,,65000,25350,8930,,KETCH,88.79,55,23.9,1.85,1.82,4.43,0.15892,12.06,3.3,4.27,,,,,,,,,,,,,,,,,,,,,,,,
MERRY DREAM,BOMBIGHER,1985,43.3,37.7,13.2,5.9,24200,11000,1260,,SCHOONER,24.19,202,30.6,1.77,1.21,3.28,0.08895,8.23,3.5,5.47,,,,,,,,,,,,,,,,,,,,,,,,
MIGRANT 36,VAN DE STADT,1990,36.1,29.5,11.8,5.3,21605,6614,800,STEEL,SLOOP,16.57,376,39.6,1.64,1.07,3.06,0.05084,7.28,4.3,7.10,,,,,,,,,,,,,,,,,,,,,,,,
MILLIE J,BREWER,1990,34.9,29.4,11.3,5.0,16350,6700,634,"LONG FIN, FULL SKEG",CUTTER,15.81,287,32.2,1.72,1.06,3.09,0.06842,7.27,3.6,6.08,,,,,,,,,,,,,,,,,,,,,,,,
MINOTS LIGHT,ALDEN,1998,58.1,42.8,14.2,7.8,64000,26240,1518,,KETCH,15.25,364,61.0,1.37,1.01,4.09,0.02513,8.77,6.9,10.39,,,,,,,,,,,,,,,,,,,,,,,,
MIRAGE 25,,1981,25.1,21.0,9.5,4.3,4400,1600,283,FIN,SLOOP,16.91,212,15.2,2.24,1.13,2.64,0.21432,6.14,1.8,3.31,,,,,,,,,,,,,,,,,,,,,,,,
MIRAGE 33,,2000,33.5,26.8,11.8,6.8,13000,4800,569,FIN,SLOOP,16.53,302,26.1,1.94,1.09,2.84,0.11178,6.94,2.9,4.79,,,,,,,,,,,,,,,,,,,,,,,,
MIRESSE 41,BEKEBREEDE,1961,41.0,26.3,10.8,4.9,18740,5512,689,,KETCH-CUTTER ,15.68,460,39.6,1.57,1.06,3.80,0.03938,6.87,4.6,7.94,,,,,,,,,,,,,,,,,,,,,,,,
MISTRAL,HERRESHOFF,1971,75.0,54.8,15.0,6.3,75000,,2170,"WOODEN, FULL KEEL",SCHOONER,19.61,203,51.7,1.38,1.09,5.00,0.03034,9.92,6.5,9.52,,,,,,,,,,,,,,,,,,,,,,,,
MODIFIED ROBERTS 53,ROBERTS,1991,58.0,45.0,16.0,6.9,52000,18200,1800,FIN KEEL,KETCH,20.76,255,41.0,1.66,1.13,3.63,0.06287,8.99,4.7,6.67,,,,,,,,,,,,,,,,,,,,,,,,
MOLLY CAT,DEWITT,1968,17.0,16.1,7.5,2.2/4,3000,1000,200,CAT BOAT,GAFF,15.42,321,19.3,2.01,1.11,2.27,0.12018,5.38,2.0,4.14,,,,,,,,,,,,,,,,,,,,,,,,
MOODY 34,MOODY,1970,33.5,27.9,11.7,5.0,11200,4500,514,MONO,SLOOP,16.49,230,22.1,2.02,1.09,2.86,0.14871,7.08,2.5,4.15,,,,,,,,,,,,,,,,,,,,,,,,
MOODY 35,DIXON,1996,34.5,28.8,11.8,5.3,12800,4750,508,,SLOOP,14.91,239,24.2,1.95,1.05,2.92,0.12896,7.19,2.7,4.46,,,,,,,,,,,,,,,,,,,,,,,,
MOODY 376,DIXON,1992,37.8,31.3,12.5,5.5,16255,6504,640,,SLOOP,16.02,237,26.1,1.91,1.07,3.02,0.11276,7.50,3.0,4.81,,,,,,,,,,,,,,,,,,,,,,,,
MOODY 38,DIXON,2000,37.5,31.5,12.7,5.8,18000,6850,641,,SLOOP,14.99,257,28.3,1.88,1.04,2.95,0.10120,7.52,3.2,5.10,,,,,,,,,,,,,,,,,,,,,,,,
MOODY 40,DIXON,1997,39.1,33.7,13.3,6.1,23100,6927,657,"FIN KEEL, SKEG RUDDER",SLOOP,13.01,269,32.2,1.81,0.99,2.94,0.08982,7.78,3.5,5.45,,,,,,,,,,,,,,,,,,,,,,,,
MOODY 425,DIXON,1966,41.7,34.3,13.4,6.0,21226,8400,781,MONO,SLOOP,16.36,235,28.3,1.87,1.07,3.11,0.10850,7.85,3.2,4.96,,,,,,,,,,,,,,,,,,,,,,,,
MOODY 44,DIXON,1995,43.0,36.0,13.6,6.5,23000,8900,814,,SLOOP,16.17,220,28.9,1.85,1.06,3.16,0.10398,8.04,3.3,5.08,,,,,,,,,,,,,,,,,,,,,,,,
MOODY 46,DIXON,1968,46.2,39.3,14.4,6.8,29762,10362,945,MONO FIN SKEG,CUTTER,15.81,219,31.9,1.80,1.05,3.21,0.09397,8.40,3.6,5.38,,,,,,,,,,,,,,,,,,,,,,,,
Moody 47,,1995,46.5,38.8,14.7,6.8,27500,11500,929,,,16.38,210,28.8,1.88,1.06,3.16,0.11478,8.35,3.3,4.88,,,,,,,,,,,,,,,,,,,,,,,,
MOONFLEET 36,GILES,1976,36.0,29.0,12.1,5.5,18515,7840,638,,SLOOP,14.64,339,33.2,1.77,1.03,2.98,0.07501,7.22,3.6,5.87,,,,,,,,,,,,,,,,,,,,,,,,
MOORE 24,MOORE,1977,23.8,21.8,7.2,4.1,2050,1025,247,,SLOOP/FRACT  ,24.55,88,10.2,2.19,1.31,3.31,0.26549,6.26,1.3,2.75,,,,,,,,,,,,,,,,,,,,,,,,
MOORE 30,MULL,1984,30.0,25.6,14.0,6.5,2000,,465,FOLDING WINGS,SLOOP,46.98,53,3.4,4.30,1.62,2.14,7.34452,6.78,0.4,0.61,,,,,,,,,,,,,,,,,,,,,,,,
MOORINGS 382,BERRET,1996,38.4,32.7,12.9,5.2,14991,4740,736,,SLOOP,19.44,191,22.3,2.02,1.14,2.98,0.15645,7.66,2.6,4.11,,,,,,,,,,,,,,,,,,,,,,,,
MOORINGS 402 CC,FINOT,1996,41.0,36.8,12.8,5.5,18740,5300,775,FIN + BULB,SLOOP,17.64,168,25.5,1.86,1.10,3.20,0.11633,8.13,3.0,4.76,,,,,,,,,,,,,,,,,,,,,,,,
MOORINGS 463,FARR,1979,45.1,39.0,13.5,5.7,21000,0,901,FIN + BULB,SLOOP,19.01,158,24.8,1.89,1.12,3.34,0.12463,8.37,3.0,4.63,,,,,,,,,,,,,,,,,,,,,,,,
MOORING'S 50,BENETEAU,1977,50.5,44.5,15.6,5.9,28600,10780,1000,,SLOOP,17.18,145,24.6,1.97,1.08,3.24,0.16005,8.94,2.9,4.17,,,,,,,,,,,,,,,,,,,,,,,,
MOORINGS 505,FARR,1972,49.0,44.2,14.8,5.7,28000,8600,1060,FIN + BULB,SLOOP,18.47,145,26.2,1.89,1.10,3.31,0.13117,8.91,3.1,4.57,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 27 M,MORGAN,1993,27.6,25.0,9.1,4.6,7600,3300,342,,SLOOP,14.20,217,24.0,1.79,1.05,3.03,0.08312,6.70,2.8,5.27,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 27 OB,MORGAN,1967,27.3,24.0,9.5,4.4,7850,3200,369,,SLOOP,15.00,254,24.2,1.85,1.07,2.87,0.09525,6.56,2.7,4.97,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 30,MORGAN,1973,29.9,24.3,9.3, ,10500,4500,466,,SLOOP,15.60,327,32.0,1.64,1.07,3.22,0.05193,6.61,3.6,6.70,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 30/2,MORGAN,1974,29.9,27.5,11.3,5.4,10000,5000,530,IOR FIN KEEL,SLOOP,18.33,215,21.7,2.03,1.13,2.65,0.15394,7.03,2.4,4.05,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 30-2,MORGAN,1988,29.9,27.5,11.3,5.3,10000,5000,503,,SLOOP,17.40,215,21.7,2.03,1.11,2.65,0.15394,7.03,2.4,4.05,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 32,MORGAN,1980,31.8,25.0,11.5,4.0,11000,4000,482,,SLOOP,15.65,314,24.3,2.00,1.07,2.77,0.12456,6.70,2.7,4.52,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 35,MORGAN,1992,35.0,27.6,10.9,7.5,11900,5000,547,,SLOOP,16.85,253,25.6,1.85,1.10,3.21,0.09377,7.04,3.0,5.16,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 36 CTM,NELSON/MAREK,1975,36.0,30.0,11.8,7.2,10013,3994,624,,SLOOP,21.56,166,18.2,2.12,1.20,3.05,0.19424,7.34,2.2,3.63,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 36 T,MORGAN,1989,35.8,30.0,11.8,6.3,14000,6100,626,,SLOOP,17.30,231,25.5,1.89,1.10,3.03,0.11178,7.34,2.9,4.79,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 36-5,NELSON/MAREK,2000,36.1,29.4,11.8,6.7,11900,5000,624,,SLOOP        ,19.22,209,21.9,2.00,1.14,3.06,0.15042,7.27,2.5,4.13,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 36OI K,MORGAN,1998,35.8,28.0,11.4,3.8,16000,7500,491,,SLOOP,12.42,325,31.9,1.75,0.98,3.14,0.06924,7.09,3.6,6.05,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 38 MKII,CATALINA,1960,38.4,32.4,12.3,7.0,19000,6800,700,,SLOOP,15.79,249,30.4,1.78,1.06,3.12,0.08594,7.63,3.4,5.50,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 382,BREWER,1989,38.3,30.5,12.0,5.0,18000,6800,680,,SLOOP,15.90,283,30.9,1.77,1.06,3.19,0.07849,7.40,3.5,5.73,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 41-2,MORGAN,1995,41.2,34.0,13.8,4.8,23000,8500,754,,SLOOP,14.98,261,29.8,1.88,1.04,2.99,0.10595,7.81,3.3,5.04,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 44,CATALINA/MORGAN,1979,44.0,35.3,13.5,5.0,23500,8200,799,,SLOOP,15.64,239,29.9,1.82,1.05,3.26,0.09703,7.96,3.4,5.25,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 45,NELSON/MAREK,1993,45.0,36.4,13.4,7.4,24000,9000,894,,SLOOP,17.26,222,30.0,1.80,1.08,3.36,0.09070,8.08,3.5,5.43,,,,,,,,,,,,,,,,,,,,,,,,
"MORGAN 45, CATALINA",BUTLER-MORGAN,1986,45.1,35.3,13.9,5.5,24000,8200,803,,KETCH,15.50,244,29.1,1.86,1.05,3.24,0.10073,7.96,3.4,5.17,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 45R,NELSON/MAREK,1964,44.4,36.8,13.3,8.3,21000,9000,935,,SLOOP,19.73,188,26.5,1.87,1.14,3.34,0.11450,8.13,3.1,4.82,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 45R M,NELSON/MAREK,1979,45.0,36.8,13.4,7.9,21000,9000,935,,SLOOP,19.73,188,26.1,1.88,1.14,3.36,0.11561,8.13,3.1,4.81,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 46,MORGAN,1990,46.5,39.3,13.5,6.5,33000,8400,945,,SLOOP,14.76,243,38.4,1.63,1.02,3.44,0.05794,8.40,4.4,6.80,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN 51,MORGAN,1967,51.5,42.5,15.0,5.5,48000,13500,1200,,KETCH,14.60,279,44.6,1.60,1.00,3.43,0.05128,8.74,5.0,7.33,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN OI 30,MORGAN,1996,29.9,24.9,9.3,3.4,9000,3000,444,FULL KEEL,SLOOP,16.47,260,27.0,1.73,1.10,3.22,0.07003,6.69,3.1,5.77,,,,,,,,,,,,,,,,,,,,,,,,
MORGAN OUT ISLAND 41,MORGAN,1977,41.3,34.0,13.9,4.2,27000,9000,878,FULL KEEL,"KETCH, SLOOP",15.67,307,34.6,1.79,1.05,2.97,0.08064,7.81,3.8,5.78,,,,,,,,,,,,,,,,,,,,,,,,
MORGANA LE FEY,BREWER,1998,33.8,28.9,11.2,4.9,14225,5500,618,"LONG FIN, FULL SKEG",CUTTER,16.90,263,29.0,1.79,1.09,3.02,0.08555,7.20,3.2,5.43,,,,,,,,,,,,,,,,,,,,,,,,
MORRIS 28,PAINE,1968,28.1,22.7,9.1,4.3,8300,3900,410,,SLOOP,16.05,317,27.8,1.74,1.09,3.09,0.06781,6.38,3.1,5.83,,,,,,,,,,,,,,,,,,,,,,,,
