id,Resistance,Rv,Ri,Rr,Rincli,Comfort,LWL,BWL,Draft,Displacement,AWP,LCB,LCF,best,constraint1,constraint2,constraint3,constraint4,constraint5,valid
61,3740.3451,331.3673,281.4899,3087.1830,40.3049,0.2660,10.6307,3.3560,0.7229,9.2936,25.0410,4.9731,4.5337,-1579.6549,False,False,False,False,False,True
62,3740.3451,331.3673,281.4899,3087.1830,40.3049,0.2660,10.6307,3.3560,0.7229,9.2936,25.0410,4.9731,4.5337,-1579.6549,False,False,False,False,False,True
63,3015.5282,270.5090,265.6631,2447.9040,31.4520,0.2295,10.1141,2.9746,0.6917,6.5987,20.6056,4.9895,4.3820,-1574.4718,False,False,False,False,False,True
64,3015.5282,270.5090,265.6631,2447.9040,31.4520,0.2295,10.1141,2.9746,0.6917,6.5987,20.6056,4.9895,4.3820,-1574.4718,False,False,False,False,False,True
65,1730.5096,246.2774,288.6488,1177.8708,17.7126,0.2132,10.6846,2.5396,0.5036,5.1602,18.4776,4.2677,4.3155,-2533.4904,False,False,False,False,False,True
66,1730.5096,246.2774,288.6488,1177.8708,17.7126,0.2132,10.6846,2.5396,0.5036,5.1602,18.4776,4.2677,4.3155,-2533.4904,False,False,False,False,False,True
67,3741.1934,331.4567,281.4899,3087.9419,40.3049,0.2660,10.6307,3.3560,0.7229,9.2936,25.0410,4.9731,4.5363,-1578.8066,False,False,False,False,False,True
68,3741.1934,331.4567,281.4899,3087.9419,40.3049,0.2660,10.6307,3.3560,0.7229,9.2936,25.0410,4.9731,4.5363,-1578.8066,False,False,False,False,False,True
69,4192.7929,316.9274,267.3515,3564.7522,43.7618,0.2617,10.0967,3.3560,0.7229,8.8268,23.7833,4.9731,4.5336,-1041.2071,False,False,False,False,False,True
70,4192.7929,316.9274,267.3515,3564.7522,43.7618,0.2617,10.0967,3.3560,0.7229,8.8268,23.7833,4.9731,4.5336,-1041.2071,False,False,False,False,False,True
71,2056.0777,216.8474,267.2650,1551.6844,20.2809,0.2517,10.2328,2.1616,0.6540,4.7722,15.5265,4.9979,4.3702,-2977.9223,False,False,False,False,False,True
72,2056.0777,216.8474,267.2650,1551.6844,20.2809,0.2517,10.2328,2.1616,0.6540,4.7722,15.5265,4.9979,4.3702,-2977.9223,False,False,False,False,False,True
73,4012.7186,315.7791,267.3749,3388.4030,41.1616,0.2603,10.0967,3.3560,0.7231,8.7789,23.4104,4.1413,4.5362,-1193.2814,False,False,False,False,False,True
74,4012.7186,315.7791,267.3749,3388.4030,41.1616,0.2603,10.0967,3.3560,0.7231,8.7789,23.4104,4.1413,4.5362,-1193.2814,False,False,False,False,False,True
75,1813.9057,216.5394,267.9933,1310.9481,18.4249,0.2499,10.2614,2.1653,0.6531,4.7571,15.3496,4.2095,4.3126,-3184.0943,False,False,False,False,False,True
76,1813.9057,216.5394,267.9933,1310.9481,18.4249,0.2499,10.2614,2.1653,0.6531,4.7571,15.3496,4.2095,4.3126,-3184.0943,False,False,False,False,False,True
77,1789.8046,254.4983,286.2184,1231.1570,17.9310,0.2376,10.8446,2.4975,0.5553,5.6810,18.4466,4.2677,4.3731,-2962.1954,False,False,False,False,False,True
78,1789.8046,254.4983,286.2184,1231.1570,17.9310,0.2376,10.8446,2.4975,0.5553,5.6810,18.4466,4.2677,4.3731,-2962.1954,False,False,False,False,False,True
79,1777.5746,236.5244,283.1939,1241.8951,15.9612,0.2907,10.8072,2.0039,0.6793,5.1745,14.8536,4.9483,4.1555,-4036.4254,True,False,False,False,False,False
80,1777.5746,236.5244,283.1939,1241.8951,15.9612,0.2907,10.8072,2.0039,0.6793,5.1745,14.8536,4.9483,4.1555,-4036.4254,True,False,False,False,False,False
81,1687.7293,212.5129,294.5007,1166.4260,14.2898,0.1754,10.0341,2.3634,0.4106,3.6942,16.3708,4.5538,4.6499,-1820.2707,False,False,False,False,False,True
82,1687.7293,212.5129,294.5007,1166.4260,14.2898,0.1754,10.0341,2.3634,0.4106,3.6942,16.3708,4.5538,4.6499,-1820.2707,False,False,False,False,False,True
83,2277.6754,232.9007,265.1059,1758.9968,20.6720,0.3078,10.1169,2.0104,0.6793,5.2579,14.0381,4.9572,4.1468,-3878.3246,True,False,False,False,False,False
84,2277.6754,232.9007,265.1059,1758.9968,20.6720,0.3078,10.1169,2.0104,0.6793,5.2579,14.0381,4.9572,4.1468,-3878.3246,True,False,False,False,False,False
85,3548.3571,335.7240,285.6908,2888.7681,38.1742,0.2672,10.7893,3.3560,0.7229,9.4322,25.4147,4.9732,4.5449,-1795.6429,False,False,False,False,False,True
86,3548.3571,335.7240,285.6908,2888.7681,38.1742,0.2672,10.7893,3.3560,0.7229,9.4322,25.4147,4.9732,4.5449,-1795.6429,False,False,False,False,False,True
87,1559.2412,203.3718,294.3731,1048.4853,13.0110,0.1623,10.0298,2.3498,0.4106,3.3923,16.1670,4.5449,4.6499,-1686.7588,False,False,False,False,False,True
88,1559.2412,203.3718,294.3731,1048.4853,13.0110,0.1623,10.0298,2.3498,0.4106,3.3923,16.1670,4.5449,4.6499,-1686.7588,False,False,False,False,False,True
89,4171.7994,317.0129,267.3515,3543.6732,43.7618,0.2617,10.0967,3.3560,0.7229,8.8268,23.7833,4.9731,4.5362,-1062.2006,False,False,False,False,False,True
90,4171.7994,317.0129,267.3515,3543.6732,43.7618,0.2617,10.0967,3.3560,0.7229,8.8268,23.7833,4.9731,4.5362,-1062.2006,False,False,False,False,False,True
91,2941.4737,330.5573,282.5551,2295.6285,32.7328,0.2346,10.8294,3.3404,0.6326,8.2530,25.3635,4.9557,4.0484,-1750.5263,False,False,False,False,False,True
92,2941.4737,330.5573,282.5551,2295.6285,32.7328,0.2346,10.8294,3.3404,0.6326,8.2530,25.3635,4.9557,4.0484,-1750.5263,False,False,False,False,False,True
93,3810.8857,304.1098,267.2180,3201.3570,38.2008,0.2900,10.0967,3.0052,0.7212,8.4446,21.2972,4.2432,4.5339,-1989.1143,False,False,False,False,False,True
94,3810.8857,304.1098,267.2180,3201.3570,38.2008,0.2900,10.0967,3.0052,0.7212,8.4446,21.2972,4.2432,4.5339,-1989.1143,False,False,False,False,False,True
95,1926.1584,268.2372,283.6836,1355.0958,19.1418,0.2827,10.8728,2.3257,0.6309,6.1610,17.7292,4.5404,4.0458,-3727.8416,False,False,False,False,False,True
96,1926.1584,268.2372,283.6836,1355.0958,19.1418,0.2827,10.8728,2.3257,0.6309,6.1610,17.7292,4.5404,4.0458,-3727.8416,False,False,False,False,False,True
97,2068.0544,240.2449,293.7241,1513.2765,20.8089,0.1494,10.0077,3.0138,0.4106,4.3412,20.6895,4.2324,4.6499,-919.9456,False,False,False,False,False,True
98,2068.0544,240.2449,293.7241,1513.2765,20.8089,0.1494,10.0077,3.0138,0.4106,4.3412,20.6895,4.2324,4.6499,-919.9456,False,False,False,False,False,True
99,1809.8036,216.5394,267.9933,1306.8460,18.4249,0.2499,10.2614,2.1653,0.6531,4.7571,15.3496,4.2095,4.3053,-3188.1964,False,False,False,False,False,True
100,1809.8036,216.5394,267.9933,1306.8460,18.4249,0.2499,10.2614,2.1653,0.6531,4.7571,15.3496,4.2095,4.3053,-3188.1964,False,False,False,False,False,True
101,1834.9101,256.2367,288.3609,1272.8988,17.4137,0.2377,10.9218,2.5012,0.5541,5.7252,18.6083,4.2677,4.6292,-2919.0899,False,False,False,False,False,True
102,1834.9101,256.2367,288.3609,1272.8988,17.4137,0.2377,10.9218,2.5012,0.5541,5.7252,18.6083,4.2677,4.6292,-2919.0899,False,False,False,False,False,True
103,1450.4021,202.8281,293.6914,941.0801,12.8025,0.1620,10.0066,2.3498,0.4106,3.3801,16.1242,4.5449,4.3363,-1789.5979,False,False,False,False,False,True
104,1450.4021,202.8281,293.6914,941.0801,12.8025,0.1620,10.0066,2.3498,0.4106,3.3801,16.1242,4.5449,4.3363,-1789.5979,False,False,False,False,False,True
105,1897.9694,246.9843,283.2536,1350.5475,17.1840,0.3151,10.8094,2.0104,0.6793,5.6345,15.0299,4.8254,4.1555,-4404.0306,True,False,False,False,False,False
106,1897.9694,246.9843,283.2536,1350.5475,17.1840,0.3151,10.8094,2.0104,0.6793,5.6345,15.0299,4.8254,4.1555,-4404.0306,True,False,False,False,False,False
107,1772.6426,256.1648,287.0789,1211.4829,17.9161,0.2367,10.8732,2.5166,0.5541,5.7280,18.6337,4.2677,4.3156,-2961.3574,False,False,False,False,False,True
108,1772.6426,256.1648,287.0789,1211.4829,17.9161,0.2367,10.8732,2.5166,0.5541,5.7280,18.6337,4.2677,4.3156,-2961.3574,False,False,False,False,False,True
109,1500.4252,215.5681,289.6005,982.4055,12.8512,0.2237,10.6394,2.0400,0.4916,4.0335,15.2560,4.8922,4.3242,-2973.5748,True,False,False,False,False,False
110,1500.4252,215.5681,289.6005,982.4055,12.8512,0.2237,10.6394,2.0400,0.4916,4.0335,15.2560,4.8922,4.3242,-2973.5748,True,False,False,False,False,False
111,1577.3439,227.1387,291.2846,1044.0013,14.9194,0.1794,10.6846,2.5396,0.4893,4.3425,18.4633,4.2677,4.6679,-2010.6561,False,False,False,False,False,True
112,1577.3439,227.1387,291.2846,1044.0013,14.9194,0.1794,10.6846,2.5396,0.4893,4.3425,18.4633,4.2677,4.6679,-2010.6561,False,False,False,False,False,True
113,1556.4524,203.5924,294.2114,1045.6091,13.0395,0.1627,10.0298,2.3498,0.4111,3.4004,16.1670,4.5449,4.6499,-1697.5476,False,False,False,False,False,True
